,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
0,191135182,4b722531-5abb-11e8-911c-28924ad12c5c,-19.575,-43.593,2016-01-01 16:31:00,Brasil,MINAS GERAIS,TAQUARAÇU DE MINAS,Cerrado,2016,1,1
1,191216016,86c9d5d2-5aba-11e8-911c-28924ad12c5c,3.887,-60.033,2016-01-02 17:20:00,Brasil,RORAIMA,NORMANDIA,Amazônia,2016,1,2
7,191216025,86c9d5d8-5aba-11e8-911c-28924ad12c5c,0.593,-63.508,2016-01-02 17:20:00,Brasil,AMAZONAS,BARCELOS,Amazônia,2016,1,2
10,191302299,84911fbf-5aba-11e8-911c-28924ad12c5c,-1.404,-46.107,2016-01-03 16:23:00,Brasil,MARANHÃO,CARUTAPERA,Amazônia,2016,1,3
13,191302306,84911fc2-5aba-11e8-911c-28924ad12c5c,-2.777,-48.111,2016-01-03 16:23:00,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,2016,1,3
15,191302152,4b759682-5abb-11e8-911c-28924ad12c5c,-7.455,-35.005,2016-01-03 16:21:00,Brasil,PERNAMBUCO,ITAMBÉ,Mata Atlântica,2016,1,3
16,191302153,4b759683-5abb-11e8-911c-28924ad12c5c,-8.067,-41.504,2016-01-03 16:21:00,Brasil,PIAUÍ,SÃO FRANCISCO DE ASSIS DO PIAUÍ,Caatinga,2016,1,3
18,191302155,4b759685-5abb-11e8-911c-28924ad12c5c,-10.614,-40.458,2016-01-03 16:21:00,Brasil,BAHIA,ANTÔNIO GONÇALVES,Caatinga,2016,1,3
20,191302158,4b759687-5abb-11e8-911c-28924ad12c5c,-10.222,-36.963,2016-01-03 16:21:00,Brasil,SERGIPE,CANHOBA,Mata Atlântica,2016,1,3
21,191302160,4b759688-5abb-11e8-911c-28924ad12c5c,-9.658,-36.031,2016-01-03 16:21:00,Brasil,ALAGOAS,PILAR,Mata Atlântica,2016,1,3
30,191389903,8491a44e-5aba-11e8-911c-28924ad12c5c,-2.453,-47.029,2016-01-04 17:06:00,Brasil,PARÁ,NOVA ESPERANÇA DO PIRIÁ,Amazônia,2016,1,4
33,191389906,8491a451-5aba-11e8-911c-28924ad12c5c,-3.068,-45.248,2016-01-04 17:06:00,Brasil,MARANHÃO,VIANA,Amazônia,2016,1,4
