,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
0,1548112154,ebe7e710-17e7-3f6a-9bc1-5096efbad8b1,-6.97924,-42.37997,2021-07-30 16:52:00,Brasil,PIAUÍ,OEIRAS,Caatinga,2021,7,30
1,1548112126,78ba7a03-99c9-3c78-85f0-f69299c08231,-9.20177,-46.47999,2021-07-30 16:52:00,Brasil,MARANHÃO,ALTO PARNAÍBA,Cerrado,2021,7,30
3,1548112097,21b7bde4-54ba-389d-9817-35f73a25b54e,-29.40066,-50.4168,2021-07-30 16:48:00,Brasil,RIO GRANDE DO SUL,SÃO FRANCISCO DE PAULA,Mata Atlântica,2021,7,30
4,1548112041,168b59ba-58da-3281-ac07-31a05095e7b1,-11.20888,-50.59149,2021-07-30 16:52:00,Brasil,TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,2021,7,30
5,1548112042,24ffa087-ac22-3b97-ba71-649abc75955d,-21.36136,-45.71774,2021-07-30 16:50:00,Brasil,MINAS GERAIS,CAMPOS GERAIS,Mata Atlântica,2021,7,30
7,1548124055,6fc029ea-9000-3e33-9fc5-a32065c39465,-8.54955,-64.04517,2021-07-30 18:32:00,Brasil,AMAZONAS,CANUTAMA,Amazônia,2021,7,30
11,1548124049,efbdddc4-ea5d-3c9c-afc3-fcefb1fa8876,-8.44082,-62.71069,2021-07-30 18:32:00,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,2021,7,30
20,1548124022,89198f3b-3f4c-37f7-80a6-ae19e2580402,-9.25336,-70.3307,2021-07-30 18:32:00,Brasil,ACRE,SANTA ROSA DO PURUS,Amazônia,2021,7,30
175,1548112656,61618e46-4cf5-3089-83d1-37c6f91abdb0,-14.59367,-47.8405,2021-07-30 16:50:00,Brasil,GOIÁS,NIQUELÂNDIA,Cerrado,2021,7,30
179,1548112652,9f3f7e49-59c7-3d40-9168-ea99d8d83bf1,-7.48965,-55.53834,2021-07-30 16:54:00,Brasil,PARÁ,NOVO PROGRESSO,Amazônia,2021,7,30
186,1548112645,82618d51-0cb3-3745-b339-12605167f086,-20.80659,-47.23808,2021-07-30 16:50:00,Brasil,SÃO PAULO,PATROCÍNIO PAULISTA,Cerrado,2021,7,30
217,1548112577,7be9d1c8-ba9d-3044-8ad6-207a52b511fb,-11.16575,-51.43544,2021-07-30 16:52:00,Brasil,MATO GROSSO,LUCIARA,Cerrado,2021,7,30
254,1548112540,dc62bd0b-76e6-3367-9e9c-2c5fad5d8234,-21.94145,-42.21841,2021-07-30 16:50:00,Brasil,RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,Mata Atlântica,2021,7,30
317,1548112216,d679ebd5-d21f-3bf0-84f1-82adff2ed5a9,-9.40907,-43.32126,2021-07-30 16:52:00,Brasil,BAHIA,CAMPO ALEGRE DE LOURDES,Caatinga,2021,7,30
354,1548112179,e4688526-2482-334d-9d7f-3c8ceb6e7abb,1.30713,-50.87546,2021-07-30 16:54:00,Brasil,AMAPÁ,TARTARUGALZINHO,Amazônia,2021,7,30
401,1548112093,076ac336-6b3c-3ed2-a89d-a5a83965f529,-28.35359,-50.56078,2021-07-30 16:48:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica,2021,7,30
410,1548112084,a0038d78-4c7b-31ef-bbc2-d8f41d70e996,-26.5883,-51.55423,2021-07-30 16:48:00,Brasil,PARANÁ,PALMAS,Mata Atlântica,2021,7,30
702,1548448288,ff92d9de-1495-31a0-97c8-596ef9d283be,-9.46926,-63.13861,2021-07-31 17:34:00,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,2021,7,31
703,1548448228,d763cc7e-3d87-3efc-b8f0-fa3dd7a1f481,-9.23092,-54.87683,2021-07-31 17:34:00,Brasil,PARÁ,NOVO PROGRESSO,Amazônia,2021,7,31
705,1548448012,75dbf014-9545-3914-afc9-2428254fa532,-6.57726,-60.05867,2021-07-31 17:37:00,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,2021,7,31
706,1548447219,5c5b6383-682d-323a-a891-56da3824e6ce,-10.90038,-57.49451,2021-07-31 17:34:00,Brasil,MATO GROSSO,JUARA,Amazônia,2021,7,31
709,1548447484,359576bd-51b5-3697-8df5-47ca7ed6f377,-22.22025,-56.08553,2021-07-31 17:32:00,Brasil,MATO GROSSO DO SUL,ANTÔNIO JOÃO,Cerrado,2021,7,31
710,1548447418,8fe7cecd-45e5-3c34-8698-915e4ac8301e,-28.91955,-50.72844,2021-07-31 17:30:00,Brasil,RIO GRANDE DO SUL,SÃO FRANCISCO DE PAULA,Mata Atlântica,2021,7,31
711,1548443219,66bea075-5806-3fea-8ef0-6597a41c3749,-7.15221,-42.88144,2021-07-31 15:56:00,Brasil,PIAUÍ,NAZARÉ DO PIAUÍ,Caatinga,2021,7,31
726,1548448416,3f16c327-9517-30d8-a993-2b51e9ff790e,-9.80959,-67.64978,2021-07-31 17:34:00,Brasil,ACRE,PORTO ACRE,Amazônia,2021,7,31
764,1548448546,6ce0e337-586c-362f-9044-f97b23facdb2,-25.4331,-49.10942,2021-07-31 17:30:00,Brasil,PARANÁ,PIRAQUARA,Mata Atlântica,2021,7,31
772,1548448528,41ef805a-b117-3e2a-98d2-5a68bf99c88c,-22.31955,-49.30962,2021-07-31 17:32:00,Brasil,SÃO PAULO,AVAÍ,Mata Atlântica,2021,7,31
777,1548448519,bd478b39-7b8d-3924-9225-a52ca3481f70,-21.10068,-44.71592,2021-07-31 17:32:00,Brasil,MINAS GERAIS,BOM SUCESSO,Mata Atlântica,2021,7,31
865,1548448067,7f4c339e-7a2f-31e5-9084-db956d13438a,-12.61423,-50.62936,2021-07-31 17:34:00,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,2021,7,31
1182,1548447393,7115e727-8cd0-3a31-b8bd-ffac7444b151,-28.17638,-50.10961,2021-07-31 17:30:00,Brasil,SANTA CATARINA,SÃO JOAQUIM,Mata Atlântica,2021,7,31
1279,1548447515,e9f558d8-268d-35b7-8a51-cdef832f53d5,-18.1532,-51.01206,2021-07-31 17:32:00,Brasil,GOIÁS,RIO VERDE,Cerrado,2021,7,31
1421,1548443327,408d6450-3994-3f18-86d1-8e77afef9bc4,-3.01527,-42.37648,2021-07-31 15:58:00,Brasil,MARANHÃO,TUTÓIA,Cerrado,2021,7,31
1423,1548443322,9cfcf8c4-e885-3563-bb49-3e562c89eeb3,-10.92776,-43.60275,2021-07-31 15:56:00,Brasil,BAHIA,BARRA,Cerrado,2021,7,31
1438,1548443293,bd8a290d-59d9-3f10-9b0b-216ff948e347,-19.08361,-40.48111,2021-07-31 15:54:00,Brasil,ESPÍRITO SANTO,SÃO DOMINGOS DO NORTE,Mata Atlântica,2021,7,31
1442,1548443285,d3359965-0fd1-383d-a0eb-b809510c95b1,-6.40416,-39.11176,2021-07-31 15:56:00,Brasil,CEARÁ,ICÓ,Caatinga,2021,7,31
1499,1548715669,d0035b90-1959-377a-8059-5f83fe2d2d58,-12.45659,-44.11596,2021-08-01 16:39:00,Brasil,BAHIA,TABOCAS DO BREJO VELHO,Cerrado,2021,8,1
1500,1548715670,b5ee4d57-d161-3d88-8c76-aed056726771,-21.35156,-46.59351,2021-08-01 16:37:00,Brasil,MINAS GERAIS,MUZAMBINHO,Mata Atlântica,2021,8,1
1501,1548715640,437dd5f9-c03f-31fc-914d-160a266e27fa,-11.63556,-50.31277,2021-08-01 16:39:00,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,2021,8,1
1503,1548725162,1b88de12-63f9-3e61-94cc-cb9c67d9a0f8,-9.13632,-66.0556,2021-08-01 18:19:00,Brasil,AMAZONAS,LÁBREA,Amazônia,2021,8,1
1504,1548725161,215a97c7-59d0-374d-887e-3a929386f905,-9.11861,-59.4089,2021-08-01 18:19:00,Brasil,MATO GROSSO,COLNIZA,Amazônia,2021,8,1
1506,1548725255,a93d693b-333e-38d3-a77a-b2c3c4128683,-9.1202,-43.06265,2021-08-01 16:39:00,Brasil,PIAUÍ,ANÍSIO DE ABREU,Caatinga,2021,8,1
