,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
0,224337425,5a24dc68-5abb-11e8-911c-28924ad12c5c,-5.147,-43.4,2017-01-13 17:11:00,Brasil,MARANHÃO,CAXIAS,Cerrado,2017,1,13
2,224337431,5a2562a5-5abb-11e8-911c-28924ad12c5c,-4.197,-47.74,2017-01-13 17:11:00,Brasil,PARÁ,DOM ELISEU,Amazônia,2017,1,13
3,224262111,5a24db95-5abb-11e8-911c-28924ad12c5c,-14.503,-40.095,2017-01-12 16:26:00,Brasil,BAHIA,BOA NOVA,Mata Atlântica,2017,1,12
4,224334662,5a24dc2f-5abb-11e8-911c-28924ad12c5c,-6.011,-37.009,2017-01-13 15:33:00,Brasil,RIO GRANDE DO NORTE,JUCURUTU,Caatinga,2017,1,13
5,224337337,86dc36dc-5aba-11e8-911c-28924ad12c5c,-15.118,-56.034,2017-01-13 17:09:00,Brasil,MATO GROSSO,CUIABÁ,Cerrado,2017,1,13
6,224336323,4e968c83-5abb-11e8-911c-28924ad12c5c,-22.06,-54.018,2017-01-13 17:07:00,Brasil,MATO GROSSO DO SUL,ANGÉLICA,Mata Atlântica,2017,1,13
11,224336373,5a24dc54-5abb-11e8-911c-28924ad12c5c,-23.14,-53.081,2017-01-13 17:07:00,Brasil,PARANÁ,SANTA MÔNICA,Mata Atlântica,2017,1,13
12,224336377,5a24dc56-5abb-11e8-911c-28924ad12c5c,-22.779,-50.738,2017-01-13 17:07:00,Brasil,SÃO PAULO,CRUZÁLIA,Mata Atlântica,2017,1,13
16,224336749,5a24dc5d-5abb-11e8-911c-28924ad12c5c,-15.817,-51.718,2017-01-13 17:08:00,Brasil,GOIÁS,MONTES CLAROS DE GOIÁS,Cerrado,2017,1,13
28,224262126,4e93d7e5-5abb-11e8-911c-28924ad12c5c,-7.329,-39.307,2017-01-12 16:27:00,Brasil,CEARÁ,BARBALHA,Caatinga,2017,1,12
29,224262127,4e93d7e7-5abb-11e8-911c-28924ad12c5c,-8.33,-39.984,2017-01-12 16:27:00,Brasil,PERNAMBUCO,PARNAMIRIM,Caatinga,2017,1,12
32,224262133,4e93d7ed-5abb-11e8-911c-28924ad12c5c,-5.579,-43.616,2017-01-12 16:28:00,Brasil,MARANHÃO,PARNARAMA,Cerrado,2017,1,12
33,224262134,4e93d7ee-5abb-11e8-911c-28924ad12c5c,-6.883,-41.609,2017-01-12 16:28:00,Brasil,PIAUÍ,PICOS,Caatinga,2017,1,12
34,224262124,84d5eb75-5aba-11e8-911c-28924ad12c5c,-8.438,-48.137,2017-01-12 16:27:00,Brasil,TOCANTINS,TUPIRATINS,Cerrado,2017,1,12
41,224477738,4e9db3a5-5abb-11e8-911c-28924ad12c5c,-24.928,-51.262,2017-01-15 16:54:00,Brasil,PARANÁ,PRUDENTÓPOLIS,Mata Atlântica,2017,1,15
42,224477698,5b19dbf1-5abb-11e8-911c-28924ad12c5c,-28.009,-49.1,2017-01-15 16:53:00,Brasil,SANTA CATARINA,SANTA ROSA DE LIMA,Mata Atlântica,2017,1,15
71,223870565,5a23481c-5abb-11e8-911c-28924ad12c5c,-5.868,-43.375,2017-01-07 16:10:00,Brasil,MARANHÃO,PARNARAMA,Cerrado,2017,1,7
72,223944510,4e8c508a-5abb-11e8-911c-28924ad12c5c,-23.468,-47.046,2017-01-08 16:48:00,Brasil,SÃO PAULO,ARAÇARIGUAMA,Mata Atlântica,2017,1,8
73,223944513,4e8c508c-5abb-11e8-911c-28924ad12c5c,-20.708,-46.62,2017-01-08 16:49:00,Brasil,MINAS GERAIS,PASSOS,Cerrado,2017,1,8
76,223782981,6c031169-5abb-11e8-911c-28924ad12c5c,-22.872,-54.244,2017-01-06 17:01:00,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,2017,1,6
77,223782982,6c03116a-5abb-11e8-911c-28924ad12c5c,-21.881,-48.504,2017-01-06 17:01:00,Brasil,SÃO PAULO,BOA ESPERANÇA DO SUL,Cerrado,2017,1,6
78,223782995,4e899d9b-5abb-11e8-911c-28924ad12c5c,-15.251,-50.964,2017-01-06 17:02:00,Brasil,GOIÁS,ARUANÃ,Cerrado,2017,1,6
83,223783049,86dc3664-5aba-11e8-911c-28924ad12c5c,-12.946,-49.486,2017-01-06 17:03:00,Brasil,TOCANTINS,ARAGUAÇU,Cerrado,2017,1,6
84,223783050,86dc3665-5aba-11e8-911c-28924ad12c5c,-12.304,-54.56,2017-01-06 17:03:00,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,2017,1,6
91,224262115,5a24db98-5abb-11e8-911c-28924ad12c5c,-13.847,-49.154,2017-01-12 16:26:00,Brasil,GOIÁS,MUTUNÓPOLIS,Cerrado,2017,1,12
92,224262139,84d5eb77-5aba-11e8-911c-28924ad12c5c,-7.61,-49.486,2017-01-12 16:28:00,Brasil,PARÁ,FLORESTA DO ARAGUAIA,Amazônia,2017,1,12
98,224262119,86dc36d4-5aba-11e8-911c-28924ad12c5c,-12.923,-51.083,2017-01-12 16:26:00,Brasil,MATO GROSSO,RIBEIRÃO CASCALHEIRA,Cerrado,2017,1,12
101,224262117,5a24db99-5abb-11e8-911c-28924ad12c5c,-10.647,-36.929,2017-01-12 16:26:00,Brasil,SERGIPE,JAPARATUBA,Mata Atlântica,2017,1,12
102,224262128,4e93d7e8-5abb-11e8-911c-28924ad12c5c,-7.271,-35.737,2017-01-12 16:27:00,Brasil,PARAÍBA,MASSARANDUBA,Caatinga,2017,1,12
104,224262131,4e93d7eb-5abb-11e8-911c-28924ad12c5c,-8.885,-35.337,2017-01-12 16:27:00,Brasil,ALAGOAS,MARAGOGI,Mata Atlântica,2017,1,12
106,223471675,5a21b175-5abb-11e8-911c-28924ad12c5c,-3.282,-40.272,2017-01-03 16:35:00,Brasil,CEARÁ,MORRINHOS,Caatinga,2017,1,3
107,223783173,84d5eaa4-5aba-11e8-911c-28924ad12c5c,-3.411,-59.142,2017-01-06 17:06:00,Brasil,AMAZONAS,AUTAZES,Amazônia,2017,1,6
111,224477740,5a25e319-5abb-11e8-911c-28924ad12c5c,-21.54,-54.703,2017-01-15 16:55:00,Brasil,MATO GROSSO DO SUL,RIO BRILHANTE,Cerrado,2017,1,15
114,223783174,84d5eaa5-5aba-11e8-911c-28924ad12c5c,-1.487,-56.115,2017-01-06 17:06:00,Brasil,PARÁ,ORIXIMINÁ,Amazônia,2017,1,6
141,223944588,86dc3698-5aba-11e8-911c-28924ad12c5c,-9.447,-50.259,2017-01-08 16:52:00,Brasil,PARÁ,SANTANA DO ARAGUAIA,Amazônia,2017,1,8
144,223944547,4e8c50ab-5abb-11e8-911c-28924ad12c5c,-14.007,-49.82,2017-01-08 16:51:00,Brasil,GOIÁS,SANTA TEREZINHA DE GOIÁS,Cerrado,2017,1,8
145,223944543,84d5ead7-5aba-11e8-911c-28924ad12c5c,-11.692,-46.506,2017-01-08 16:51:00,Brasil,TOCANTINS,NOVO JARDIM,Cerrado,2017,1,8
149,223944542,4e8c50a8-5abb-11e8-911c-28924ad12c5c,-12.677,-45.036,2017-01-08 16:51:00,Brasil,BAHIA,SÃO DESIDÉRIO,Cerrado,2017,1,8
154,224262075,5a24db91-5abb-11e8-911c-28924ad12c5c,-17.138,-45.808,2017-01-12 16:25:00,Brasil,MINAS GERAIS,BRASILÂNDIA DE MINAS,Cerrado,2017,1,12
158,223874076,6c0311cf-5abb-11e8-911c-28924ad12c5c,-18.51,-57.484,2017-01-07 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2017,1,7
175,223471696,5a21b17b-5abb-11e8-911c-28924ad12c5c,-3.13,-42.381,2017-01-03 16:35:00,Brasil,MARANHÃO,SANTANA DO MARANHÃO,Cerrado,2017,1,3
177,224477812,84d5eba1-5aba-11e8-911c-28924ad12c5c,2.659,-60.481,2017-01-15 17:02:00,Brasil,RORAIMA,CANTÁ,Amazônia,2017,1,15
178,224410620,84d5eb88-5aba-11e8-911c-28924ad12c5c,-17.702,-57.055,2017-01-14 17:51:00,Brasil,MATO GROSSO,POCONÉ,Pantanal,2017,1,14
186,223782983,6c03116b-5abb-11e8-911c-28924ad12c5c,-18.77,-49.443,2017-01-06 17:01:00,Brasil,MINAS GERAIS,CAPINÓPOLIS,Cerrado,2017,1,6
217,223944661,5a23c58c-5abb-11e8-911c-28924ad12c5c,-3.957,-42.153,2017-01-08 16:53:00,Brasil,PIAUÍ,BATALHA,Caatinga,2017,1,8
251,224477787,86dc36ed-5aba-11e8-911c-28924ad12c5c,-3.197,-54.893,2017-01-15 17:00:00,Brasil,PARÁ,BELTERRA,Amazônia,2017,1,15
257,224410638,84d5eb92-5aba-11e8-911c-28924ad12c5c,-12.056,-63.891,2017-01-14 17:53:00,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,2017,1,14
260,224409035,5a2563a6-5abb-11e8-911c-28924ad12c5c,-10.368,-36.643,2017-01-14 16:14:00,Brasil,SERGIPE,NEÓPOLIS,Mata Atlântica,2017,1,14
264,224409043,5a2563ae-5abb-11e8-911c-28924ad12c5c,-11.186,-38.522,2017-01-14 16:14:00,Brasil,BAHIA,NOVA SOURE,Caatinga,2017,1,14
