,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
145867,1412661701,98dac725-6d82-316a-afea-d568a4656413,-22.48,-53.739,2020-01-10 16:40:00,Brasil,MATO GROSSO DO SUL,IVINHEMA,Mata Atlântica,2020,1,10
145905,1412661732,8def9815-5181-3e9f-bea0-ad020a65f7dc,-10.783,-36.931,2020-01-10 16:45:00,Brasil,SERGIPE,SANTO AMARO DAS BROTAS,Mata Atlântica,2020,1,10
145908,1412661729,668f4662-f048-3075-93af-6936b8325c45,-5.482,-39.548,2020-01-10 16:45:00,Brasil,CEARÁ,SENADOR POMPEU,Caatinga,2020,1,10
145909,1412661728,d0a6e205-f30c-3659-9d40-18527aeaa154,-8.398,-45.602,2020-01-10 16:45:00,Brasil,PIAUÍ,RIBEIRO GONÇALVES,Cerrado,2020,1,10
145917,1412661720,689645b6-6274-38c6-b026-804784b53b64,-30.724,-50.525,2020-01-10 16:40:00,Brasil,RIO GRANDE DO SUL,MOSTARDAS,Pampa,2020,1,10
145918,1412661719,bf4f121e-75a8-3254-b890-90c263f411d0,-14.157,-46.917,2020-01-10 16:40:00,Brasil,GOIÁS,IACIARA,Cerrado,2020,1,10
145919,1412661707,9d138030-f6e6-3c2b-9e2c-8981d1259c55,-24.404,-50.136,2020-01-10 16:40:00,Brasil,PARANÁ,PIRAÍ DO SUL,Cerrado,2020,1,10
145943,1412875429,b6c132a3-556f-3e68-a755-7f4f03b73307,-9.095,-35.391,2020-01-13 15:35:00,Brasil,ALAGOAS,PORTO DE PEDRAS,Mata Atlântica,2020,1,13
145944,1412875430,51feb020-3d5e-3d3e-bce0-2fa6e5f82b98,-6.09,-38.979,2020-01-13 15:35:00,Brasil,CEARÁ,SOLONÓPOLE,Caatinga,2020,1,13
145952,1413152341,b097d97e-808c-3242-8e44-9a6269d2a676,-4.393,-50.011,2020-01-17 16:50:00,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,2020,1,17
145956,1413152297,ae2b0bc7-401c-3d98-a5f8-e13664fe5ab4,-33.359,-52.903,2020-01-17 16:45:00,Brasil,RIO GRANDE DO SUL,SANTA VITÓRIA DO PALMAR,Pampa,2020,1,17
145958,1413152342,c2cb8d30-6935-361f-ac4c-9ea85ab000b7,-13.391,-53.447,2020-01-17 16:50:00,Brasil,MATO GROSSO,GAÚCHA DO NORTE,Amazônia,2020,1,17
145961,1413152330,e99d2287-5513-343f-ad48-276b9ffedb22,-5.577,-48.002,2020-01-17 16:50:00,Brasil,TOCANTINS,ARAGUATINS,Cerrado,2020,1,17
145963,1413152327,e8e4c822-a857-3378-a97a-e4f9ce7435bf,-12.307,-46.253,2020-01-17 16:50:00,Brasil,BAHIA,LUÍS EDUARDO MAGALHÃES,Cerrado,2020,1,17
145964,1413152324,7c8605e2-53d3-31bc-9148-52b00badee63,-7.615,-47.336,2020-01-17 16:50:00,Brasil,MARANHÃO,CAROLINA,Cerrado,2020,1,17
145973,1413152320,8960cc98-bf3b-3c59-806a-8fbe210d0ecf,-6.88,-38.077,2020-01-17 16:50:00,Brasil,PARAÍBA,APARECIDA,Caatinga,2020,1,17
145982,1413152307,daa404e9-d926-308b-9cb7-cf76de2dc8b0,-16.984,-45.896,2020-01-17 16:50:00,Brasil,MINAS GERAIS,BRASILÂNDIA DE MINAS,Cerrado,2020,1,17
145992,1413152308,6aaf3872-b218-3324-93da-df393174be77,-14.311,-47.398,2020-01-17 16:50:00,Brasil,GOIÁS,ALTO PARAÍSO DE GOIÁS,Cerrado,2020,1,17
145993,1413152298,4210722c-f429-3802-b21d-70137e382111,-21.16,-52.022,2020-01-17 16:45:00,Brasil,MATO GROSSO DO SUL,BRASILÂNDIA,Cerrado,2020,1,17
145995,1413176140,30084495-6010-371c-9cec-5cd9c26773b5,-8.639,-44.343,2020-01-19 16:40:00,Brasil,PIAUÍ,PALMEIRA DO PIAUÍ,Cerrado,2020,1,19
146001,1413176225,4741af56-e0b2-35c6-9cd3-0e29a11ca1f5,-19.21,-57.407,2020-01-19 18:15:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2020,1,19
146003,1413176088,22e7f62d-c93f-3f47-b9ad-ffbc2b238d38,-15.871,-47.924,2020-01-19 16:35:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2020,1,19
146006,1413176134,afa0376b-7cb6-3a91-adca-34a888078c33,0.577,-50.856,2020-01-19 16:40:00,Brasil,AMAPÁ,ITAUBAL,Amazônia,2020,1,19
146007,1413176133,ce141a1a-fc68-376d-b3b5-d8fdc8fb956c,-6.309,-52.518,2020-01-19 16:40:00,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia,2020,1,19
146011,1413176118,1231ebe5-e087-3dfb-8440-2b46339191d9,-11.341,-44.895,2020-01-19 16:35:00,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado,2020,1,19
