,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
0,293378578,36554422-91c5-3e0b-b8fc-bd10abd30bb4,3.918,-61.42,2018-02-02 17:55:00,Brasil,RORAIMA,AMAJARI,Amazônia,2018,2,2
2,293377267,1d526b3e-1bc2-3b2c-bbc0-fd585ba8e3e7,-12.635,-38.31,2018-02-02 16:10:00,Brasil,BAHIA,CAMAÇARI,Mata Atlântica,2018,2,2
3,293378524,8545757b-0f94-3f97-8b19-4e7611451b28,-7.648,-37.427,2018-02-02 16:15:00,Brasil,PERNAMBUCO,TABIRA,Caatinga,2018,2,2
4,293378525,ad970ad2-cdc2-3458-9948-752fb49959ad,-9.409,-37.202,2018-02-02 16:15:00,Brasil,ALAGOAS,SANTANA DO IPANEMA,Caatinga,2018,2,2
5,294439960,aab31dd5-ed8b-3d5c-bfe3-521e810f1bd3,-25.424,-51.062,2018-04-20 17:15:00,Brasil,PARANÁ,PRUDENTÓPOLIS,Mata Atlântica,2018,4,20
7,294446930,d6c5c07b-b9ba-38eb-8939-ac069ffd2925,-3.864,-42.976,2018-04-21 16:30:00,Brasil,MARANHÃO,BURITI,Cerrado,2018,4,21
8,292641047,157ebcdf-1754-388e-bf82-fa5cf2bd55c2,-11.651,-57.028,2018-05-18 17:45:00,Brasil,MATO GROSSO,PORTO DOS GAÚCHOS,Amazônia,2018,5,18
10,292656152,02649083-6e56-32bd-8958-5b2142cb38d6,-12.232,-40.36,2018-05-19 16:50:00,Brasil,BAHIA,RUY BARBOSA,Caatinga,2018,5,19
11,292656139,34bbd45d-9db8-3f29-9e7b-cb986e8b1092,-9.249,-46.728,2018-05-19 16:50:00,Brasil,MARANHÃO,BALSAS,Cerrado,2018,5,19
12,292656142,63f4802b-d75b-39b8-af07-d9f3fc3052d3,-7.896,-44.307,2018-05-19 16:50:00,Brasil,PIAUÍ,URUÇUÍ,Cerrado,2018,5,19
13,299200945,405375bb-da5e-32a3-8a6f-f39d613d007f,-5.663,-60.93,2018-06-19 17:45:00,Brasil,AMAZONAS,MANICORÉ,Amazônia,2018,6,19
