,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
5234,831080918,7c9f5267-2eda-3d06-9b49-ca74faeff838,-3.032,-40.27,2019-01-20 16:15:00,Brasil,CEARÁ,BELA CRUZ,Caatinga,2019,1,20
5237,854617354,e2dfe041-adcc-3105-aee8-dd36e7390370,-10.044,-42.89,2019-02-01 16:35:00,Brasil,BAHIA,PILÃO ARCADO,Caatinga,2019,2,1
5241,837611090,747f841e-f7ae-3bb3-b42a-f9b5d0feaefb,-4.384,-38.088,2019-01-23 16:45:00,Brasil,CEARÁ,BEBERIBE,Caatinga,2019,1,23
5242,837611290,38c28e72-e83f-3c09-a468-7df092d6ef53,-11.128,-37.23,2019-01-23 16:45:00,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlântica,2019,1,23
5243,837599544,1df888ae-788d-33ea-afd7-3670c52877b0,-7.938,-37.157,2019-01-22 16:00:00,Brasil,PARAÍBA,MONTEIRO,Caatinga,2019,1,22
5245,824735964,49872fe3-79d7-3715-a33e-65a84586b3bb,-5.775,-37.872,2019-01-17 15:45:00,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga,2019,1,17
5248,837611095,78d719f4-fd20-30eb-8493-90a5b2d311e2,-10.812,-38.7,2019-01-23 16:45:00,Brasil,BAHIA,RIBEIRA DO POMBAL,Caatinga,2019,1,23
5256,837599561,0b24a865-d10c-37cc-9498-069d975bcd3b,-4.415,-37.805,2019-01-22 16:00:00,Brasil,CEARÁ,FORTIM,Caatinga,2019,1,22
5258,837599564,e09ff8a4-066e-3fbe-bdea-74bfe1eb500d,-5.329,-37.565,2019-01-22 16:00:00,Brasil,RIO GRANDE DO NORTE,GOVERNADOR DIX-SEPT ROSADO,Caatinga,2019,1,22
5263,837599603,b4993379-e9a6-3120-9446-b1c5af246713,-3.585,-41.568,2019-01-22 16:00:00,Brasil,PIAUÍ,COCAL,Caatinga,2019,1,22
5264,837599605,fa3e5416-5343-3692-9c0d-1adb252caaac,-2.904,-42.025,2019-01-22 16:05:00,Brasil,MARANHÃO,ARAIOSES,Cerrado,2019,1,22
5268,847844947,30dd907f-7ccc-3e63-a2c0-c71967243ccb,-4.456,-42.519,2019-01-29 16:10:00,Brasil,PIAUÍ,LAGOA ALEGRE,Caatinga,2019,1,29
5269,833412020,4aa3dbe2-1737-3be1-a5e1-07fb9440353e,-2.91,-42.052,2019-01-25 16:35:00,Brasil,MARANHÃO,ARAIOSES,Cerrado,2019,1,25
5273,824735976,778e787b-90cc-38c4-8369-ac7229360522,-4.142,-38.145,2019-01-17 15:45:00,Brasil,CEARÁ,BEBERIBE,Caatinga,2019,1,17
5274,836436416,82830475-21ee-3f0e-bc7a-e2bb5d97549a,-1.317,-60.248,2019-01-27 18:00:00,Brasil,AMAZONAS,PRESIDENTE FIGUEIREDO,Amazônia,2019,1,27
5276,824966170,24f1da1b-ac98-385b-892a-143d7c3f747e,-27.636,-52.284,2019-01-17 17:15:00,Brasil,RIO GRANDE DO SUL,ERECHIM,Mata Atlântica,2019,1,17
5277,824966368,23b2b02c-d8a1-36b2-9a7c-5960c92db95c,-13.679,-55.588,2019-01-17 17:20:00,Brasil,MATO GROSSO,SANTA RITA DO TRIVELATO,Cerrado,2019,1,17
5278,837611120,cefa44da-9299-369f-a6b3-d52eca41dee6,-2.737,-42.215,2019-01-23 16:45:00,Brasil,MARANHÃO,TUTÓIA,Cerrado,2019,1,23
5280,840729297,52fe14c3-aac3-345a-891c-2138c5527f9e,-10.239,-51.052,2019-01-28 17:00:00,Brasil,MATO GROSSO,SANTA TEREZINHA,Cerrado,2019,1,28
5282,850600475,3d6e164c-2b19-3a71-bc2e-cf655f5736e3,-26.885,-52.402,2019-01-30 16:45:00,Brasil,SANTA CATARINA,XANXERÊ,Mata Atlântica,2019,1,30
5283,850600511,100a0900-d6e0-39f4-a8a6-fc921437ac85,-21.513,-54.576,2019-01-30 16:45:00,Brasil,MATO GROSSO DO SUL,RIO BRILHANTE,Cerrado,2019,1,30
5284,834755485,ec7fbb9f-27d5-3e08-931b-4124c8b1539a,-28.631,-53.093,2019-01-26 17:10:00,Brasil,RIO GRANDE DO SUL,IBIRUBÁ,Mata Atlântica,2019,1,26
5291,833412000,f4bd664e-e5b7-3fc1-8965-5843fe0d80ec,-5.495,-37.96,2019-01-25 16:30:00,Brasil,CEARÁ,ALTO SANTO,Caatinga,2019,1,25
5297,852394798,dc163deb-94f9-3caa-baa5-5d3b769e0330,-4.279,-38.327,2019-01-31 15:55:00,Brasil,CEARÁ,CASCAVEL,Caatinga,2019,1,31
5298,837621207,4115dfb2-f091-3b5c-b480-5a90d22de50d,-27.362,-53.399,2019-01-24 17:20:00,Brasil,RIO GRANDE DO SUL,FREDERICO WESTPHALEN,Mata Atlântica,2019,1,24
5299,837599708,e9b7936d-0b31-34b7-93b2-554949c56c87,-20.961,-54.569,2019-01-22 17:35:00,Brasil,MATO GROSSO DO SUL,SIDROLÂNDIA,Cerrado,2019,1,22
5301,831193302,5421e39c-11c0-358d-879d-9cc00773b2f4,-20.297,-58.01,2019-01-20 17:50:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2019,1,20
5306,852394800,dd54cdc5-f983-35d3-a72b-415e7474cb84,-2.899,-42.103,2019-01-31 15:55:00,Brasil,MARANHÃO,ÁGUA DOCE DO MARANHÃO,Cerrado,2019,1,31
5308,840729132,aaae5c5b-f499-3144-a15c-363365475df1,-16.779,-49.913,2019-01-28 17:00:00,Brasil,GOIÁS,PALMEIRAS DE GOIÁS,Cerrado,2019,1,28
5311,854617330,132c6f96-1032-320d-9bc0-d7d3aa138c36,-21.192,-47.362,2019-02-01 16:35:00,Brasil,SÃO PAULO,CAJURU,Mata Atlântica,2019,2,1
5312,854617331,f62df016-3009-3f6b-a663-e2499d6a2fdf,-21.065,-43.784,2019-02-01 16:35:00,Brasil,MINAS GERAIS,CARANDAÍ,Mata Atlântica,2019,2,1
