,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
0,157098753,57d0e58b-5abb-11e8-911c-28924ad12c5c,-16.291,-43.863,2015-01-05 16:38:00,Brasil,MINAS GERAIS,MONTES CLAROS,Cerrado,2015,1,5
1,157194528,8441c3cd-5aba-11e8-911c-28924ad12c5c,-10.285,-59.47,2015-01-06 17:23:00,Brasil,MATO GROSSO,ARIPUANÃ,Amazônia,2015,1,6
2,157194916,8441c413-5aba-11e8-911c-28924ad12c5c,3.709,-61.079,2015-01-06 17:27:00,Brasil,RORAIMA,AMAJARI,Amazônia,2015,1,6
8,157309208,8441c465-5aba-11e8-911c-28924ad12c5c,-4.003,-44.882,2015-01-07 16:29:00,Brasil,MARANHÃO,LAGO VERDE,Amazônia,2015,1,7
9,157309210,8441c466-5aba-11e8-911c-28924ad12c5c,-3.372,-47.674,2015-01-07 16:29:00,Brasil,PARÁ,PARAGOMINAS,Amazônia,2015,1,7
21,157309170,8441c45a-5aba-11e8-911c-28924ad12c5c,-11.868,-49.365,2015-01-07 16:27:00,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,2015,1,7
23,156723358,84413ee6-5aba-11e8-911c-28924ad12c5c,-3.858,-51.087,2015-01-01 17:06:00,Brasil,PARÁ,PACAJÁ,Amazônia,2015,1,1
24,156723287,84413ebe-5aba-11e8-911c-28924ad12c5c,-13.942,-58.872,2015-01-01 17:04:00,Brasil,MATO GROSSO,SAPEZAL,Cerrado,2015,1,1
29,156815162,84413f41-5aba-11e8-911c-28924ad12c5c,-3.72,-54.814,2015-01-02 17:49:00,Brasil,PARÁ,PLACAS,Amazônia,2015,1,2
30,162027859,5b012051-5abb-11e8-911c-28924ad12c5c,-30.762,-52.664,2015-03-11 17:18:00,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,2015,3,11
32,162026067,67dbb1cf-5abb-11e8-911c-28924ad12c5c,-11.006,-37.8,2015-03-11 15:45:00,Brasil,SERGIPE,LAGARTO,Caatinga,2015,3,11
33,162026071,67dbb1d0-5abb-11e8-911c-28924ad12c5c,-8.395,-35.027,2015-03-11 15:45:00,Brasil,PERNAMBUCO,IPOJUCA,Mata Atlântica,2015,3,11
34,162026077,67dbb1d1-5abb-11e8-911c-28924ad12c5c,-4.912,-37.517,2015-03-11 15:46:00,Brasil,RIO GRANDE DO NORTE,BARAÚNA,Caatinga,2015,3,11
35,162026078,67dbb1d2-5abb-11e8-911c-28924ad12c5c,-7.273,-35.959,2015-03-11 15:46:00,Brasil,PARAÍBA,CAMPINA GRANDE,Caatinga,2015,3,11
36,162026028,6be776f3-5abb-11e8-911c-28924ad12c5c,-16.921,-40.126,2015-03-11 15:43:00,Brasil,BAHIA,JUCURUÇU,Mata Atlântica,2015,3,11
37,162028045,86c29770-5aba-11e8-911c-28924ad12c5c,2.533,-60.384,2015-03-11 17:27:00,Brasil,RORAIMA,CANTÁ,Amazônia,2015,3,11
40,162027877,484fd793-5abb-11e8-911c-28924ad12c5c,-25.723,-49.923,2015-03-11 17:19:00,Brasil,PARANÁ,LAPA,Mata Atlântica,2015,3,11
41,162027887,484fd79e-5abb-11e8-911c-28924ad12c5c,-26.903,-50.115,2015-03-11 17:19:00,Brasil,SANTA CATARINA,RIO DO CAMPO,Mata Atlântica,2015,3,11
42,162027904,484fd7ae-5abb-11e8-911c-28924ad12c5c,-21.927,-53.307,2015-03-11 17:20:00,Brasil,MATO GROSSO DO SUL,NOVA ANDRADINA,Cerrado,2015,3,11
51,162027939,86c29760-5aba-11e8-911c-28924ad12c5c,-11.53,-55.441,2015-03-11 17:23:00,Brasil,MATO GROSSO,SINOP,Amazônia,2015,3,11
52,162027940,86c29761-5aba-11e8-911c-28924ad12c5c,-6.42,-50.069,2015-03-11 17:24:00,Brasil,PARÁ,CANAÃ DOS CARAJÁS,Amazônia,2015,3,11
65,160580001,4825bcb3-5abb-11e8-911c-28924ad12c5c,-9.338,-35.899,2015-02-17 16:22:00,Brasil,ALAGOAS,MURICI,Mata Atlântica,2015,2,17
66,160579977,4825bc9c-5abb-11e8-911c-28924ad12c5c,-10.98,-37.997,2015-02-17 16:21:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2015,2,17
68,160579979,4825bc9e-5abb-11e8-911c-28924ad12c5c,-12.093,-38.119,2015-02-17 16:21:00,Brasil,BAHIA,ENTRE RIOS,Mata Atlântica,2015,2,17
73,161412624,67dbb0b9-5abb-11e8-911c-28924ad12c5c,-18.154,-49.818,2015-03-03 16:32:00,Brasil,GOIÁS,BOM JESUS DE GOIÁS,Cerrado,2015,3,3
75,161412626,67dbb0bb-5abb-11e8-911c-28924ad12c5c,-16.193,-43.884,2015-03-03 16:32:00,Brasil,MINAS GERAIS,MONTES CLAROS,Cerrado,2015,3,3
76,161412627,67dbb0bc-5abb-11e8-911c-28924ad12c5c,-12.618,-45.49,2015-03-03 16:33:00,Brasil,BAHIA,SÃO DESIDÉRIO,Cerrado,2015,3,3
78,161263017,8442df04-5aba-11e8-911c-28924ad12c5c,-12.006,-52.879,2015-03-01 16:46:00,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,2015,3,1
79,161347174,57de3338-5abb-11e8-911c-28924ad12c5c,-21.079,-47.515,2015-03-02 17:26:00,Brasil,SÃO PAULO,ALTINÓPOLIS,Cerrado,2015,3,2
